# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
2V9031,21331,VIDA TOWABLES INC.,,Trailer,CANADA
2VM,4187,MAX-ATLAS EQUIPMENT INTERNATIONAL INC.,MAX-ATLAS,Trailer,CANADA
2W9001,10140,"WALINGA, INC.",,Trailer,CANADA
2W9013,20824,MAXFIELD LP,,Trailer,CANADA
2W9044,982,WESTWARD INDUSTRIES LTD.,,Motorcycle,CANADA
2W9075,10324,WALSH'S AUTO & FABRICATION,,Trailer,CANADA
2W9080,16192,WCW WALKLATE,,Trailer,UNITED STATES (USA)
2W9081,10328,WARMAN'S WELDING LTD.,,Trailer,CANADA
2W9087,22914,LES ÉQUIPEMENTS WOODY INC.,,Trailer,CANADA
2W9093,20728,"WOLF INNOVATIONS, INC.",,Trailer,CANADA
2W9099,982,WESTWARD INDUSTRIES LTD.,,Low Speed Vehicle (LSV),CANADA
2WE,11248,WESTERN STAR TRUCKS INC,WESTERN STAR,Truck,CANADA
2WK,11248,WESTERN STAR TRUCKS INC,WESTERN STAR,Truck,CANADA
2WL,11248,WESTERN STAR TRUCKS INC,WESTERN STAR,Incomplete Vehicle,CANADA
2WM,11248,WESTERN STAR TRUCKS INC,WESTERN STAR,Incomplete Vehicle,CANADA
2WV,24403,WEBERLANE MFG. (1990) CO.,WEBERLANE MANUFACTURING,Trailer,
2XB,16509,B.W.S. MANUFACTURING LTD.,BWS TRAILER,Trailer,
2XK,1032,KENWORTH TRUCK COMPANY,KENWORTH,Truck,CANADA
2XM,1478,"CHRYSLER GROUP LLC(USA),CHRYSLER CANADA, CHRYSLER DE MEXICO",EAGLE,Passenger Car,CANADA
2XP,1033,PETERBILT MOTORS COMPANY,PETERBILT,Truck,CANADA
349002,17003,REDERICK METAL INDUSTRIES CORP. S.A,,Trailer,UNITED STATES (USA)
359001,22932,GRIPIN SRL,,Trailer,
389004,5428,FREDY RUIZ MARTINEZ,,Trailer,PUERTO RICO
389006,10211,"XTREME CHOPPERS, INC.",,Motorcycle,PUERTO RICO
389018,16022,THE TRAILER SHOP PUERTO RICO,,Trailer,PUERTO RICO
389020,20126,THUNDER BLADE MFG LLC.,,Trailer,PUERTO RICO
3A0,18727,"TALLERES MARTINEZ, SOCIEDAD ANONIMA DE CAPITAL VARIABLE",MARTINEZ,Trailer,MEXICO
3A1,14244,"MANUFACTURAS INDUSTRIALES GAMI, S.A. DE C.V","MANUFACTURAS INDUSTRIALES GAMI, S.A.DE C.V",Trailer,MEXICO
3A2,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Incomplete Vehicle,MEXICO
3A3,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Truck,MEXICO
3A4,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Multipurpose Passenger Vehicle (MPV),MEXICO
3A6,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Incomplete Vehicle,MEXICO
3A7,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Truck,MEXICO
3A8,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Multipurpose Passenger Vehicle (MPV),MEXICO
3A9005,16785,ALVAREZ - TALLER DE TORNOS Y SOLDADURA,,Trailer,MEXICO
3A9019,14103,"INDUSTRIAS PRO ACERO MONTERREY, S.A. DE C.V.",,Trailer,MEXICO
3A9050,6083,ANTONIO FRANCISCO MARTINEZ GONZALEZ DBA REMOLQUES Y CARROCERIA MARGO,,Trailer,MEXICO
3A9057,4815,IVEMSA,,Trailer,MEXICO
3A9074,22598,INDUSTRIAS FLORES Y ASOCIADOS S.A. DE C.V.,,Trailer,MEXICO
3A9080,4331,INGENIERIA EN TRANSFORMACIONES METALICAS,,Trailer,UNITED STATES (USA)
3A9116,14451,"OLYMPIC TRAILERES & TRUCKBEDS, SA DE CV",,Trailer,MEXICO
3A9150,20962,IMPULSORA INDUSTRIAL DEL RIO S.A. DE C.V.,,Trailer,MEXICO
3A9165,22743,INDUSTRIAS ARMADORAS IARSA,,Trailer,MEXICO
3A9168,6305,"INTEGRADORA MAQUIRENT, S.A. DE C.V.",,Trailer,MEXICO
3A9205,12266,"INGENIERIA Y MAQUINARIA DE GUADALUPE, S.A. DE C.V.",,Trailer,MEXICO
3A9209,22248,ALBERTO DIAZ MUÑOZ,,Trailer,MEXICO
3A9216,7658,INDUSTRIAS MET GRI SA DE CV,,Trailer,MEXICO
3A9217,1258,AMERICAN MANUFACTURING SUPPORT DE MEXICO S.A. DE C.V.,,Trailer,MEXICO
3A9220,14284,"AUTOTANQUES Y TOLVAS TROY, S.A. DE C.V.",,Trailer,MEXICO
3A9249,20034,INTERNATIONAL EPIZEN S.A. DE C.V.,,Trailer,MEXICO
3A9258,18384,IKA TRAILERS S.A. DE C.V.,,Trailer,MEXICO
3A9259,22866,ABRAHAM MENDOZA ZAPATA,,Trailer,MEXICO
3A9261,14983,"IZA DESIGN & MANUFACTURING, S.A DE C.V",,Trailer,MEXICO
3A9266,15540,ED TRAILERS,,Trailer,MEXICO
3A9267,21281,JELMAX TRAILERS,,Trailer,
3A9290,20377,IRON LITE TRAILERS,,Trailer,MEXICO
3A9292,19230,INDUSTRIA REAL S.A. DE C.V.,,Trailer,UNITED STATES (USA)
3A9293,19356,"AMC APARATOS MECANICOS DE CALIDAD, S.A. DE C.V.",,Trailer,MEXICO
3A9296,23597,ALEJANDRO ARENAS,,Trailer,
3A9309,21054,OVIDIO MORALES AVENA,,Trailer,MEXICO
3A9311,22807,IPSE LOCOMOTIVE SA DE CV,,Trailer,MEXICO
3A9316,22266,"OLISANTI, S.A. DE C.V.",,Trailer,MEXICO
3A9318,23798,OPERADORA Y TRANSFORMADORA VIG SA DE CV,,Trailer,MEXICO
3A9319,21865,QUSEM DEL NORTE,,Trailer,MEXICO
3A9323,23166,ARVI TRAILERS SA DE CV,,Trailer,
3A9324,23960,"ACHA TRAILERS & INOX, S.A. DE C.V.",,Trailer,MEXICO
3A9329,25728,"ACEROS Y PERFILES LL, S.A. DE C.V.",,Trailer,MEXICO
3AB,12850,DINA AUTOBUSES,DINA AUTOBUSES,Bus,MEXICO
3AE,17047,"TRAILERS DE MONTERREY, S.A.",RAMIREZ,Trailer,MEXICO
3AK,23472,DAIMLER VEHÍCULOS COMERCIALES MÉXICO S. DE R.L. DE C.V.,FREIGHTLINER,Truck,MEXICO
3AL,23472,DAIMLER VEHÍCULOS COMERCIALES MÉXICO S. DE R.L. DE C.V.,FREIGHTLINER,Incomplete Vehicle,MEXICO
3AM,21505,"INDUSTRIAS KUZZY DE MEXICO, S.A DE C.V.",KUZZY,Trailer,
3AU,8699,MULTIQUIP INC.,"MQ POWER, MULTIQUIP",Trailer,MEXICO
3AW,14859,FRUEHAUF DE MEXICO S.A. DE C.V.,"AMERICAN TRAILERS, FRUEHUAF, SMART TRAILERS, FDM, EAST",Trailer,MEXICO
3B2,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Incomplete Vehicle,MEXICO
3B3,1002,CHRYSLER DE MEXICO TOLUCA,"DODGE, CHRYSLER",Passenger Car,
3B4,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Multipurpose Passenger Vehicle (MPV),MEXICO
3B5,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Bus,MEXICO
3B6,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Incomplete Vehicle,MEXICO
3B7,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Truck,MEXICO
3B8,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Multipurpose Passenger Vehicle (MPV),MEXICO
3B9001,13033,BAJA STEEL INC.,,Trailer,UNITED STATES (USA)
3B9007,11798,BULK TANK INTERNATIONAL S DE RL DE CV,,Trailer,UNITED STATES (USA)
3B9008,4632,BUSHMASTER OF MEXICO S.A. DE C.V.,,Trailer,MEXICO
3B9021,14249,BOSCHER INDUSTRIAS S.A. DE C.V.,,Trailer,MEXICO
3B9022,14474,BIG LOWBOY S DE RL DE CV,,Trailer,MEXICO
3B9028,22408,"BEAVER TRAILERS DE MEXICO, S.A. DE C.V.",,Trailer,MEXICO
3BD,14956,"STRICK TRAILERS, LLC",STRICK COMMERCIAL TRAILER,Trailer,MEXICO
3BH,23472,DAIMLER VEHÍCULOS COMERCIALES MÉXICO S. DE R.L. DE C.V.,"FREIGHTLINER, WESTERN STAR",Truck,MEXICO
3BJ,23472,DAIMLER VEHÍCULOS COMERCIALES MÉXICO S. DE R.L. DE C.V.,"FREIGHTLINER, WESTERN STAR",Incomplete Vehicle,MEXICO
3BK,1032,KENWORTH TRUCK COMPANY,KENWORTH,Incomplete Vehicle,MEXICO
3BM,1126,"MOTOR COACH INDUSTRIES, INC.",MOTOR COACH INDUSTRIES,Bus,MEXICO
3BP,1033,PETERBILT MOTORS COMPANY,PETERBILT,Incomplete Vehicle,MEXICO
3BT,11674,WEST TEXAS DOLLIES INC.,WEST TEXAS DOLLIES INC.,Trailer,UNITED STATES (USA)
3BY,7900,CARROCERIAS DE LUCIO S.A. DE C.V.,CARROCERIAS DE LUCIO,Trailer,MEXICO
3BZ,13368,"GRUPO REMOLQUES DEL NORTE, S.A. DE C.V.",GRUPO REMOLQUES DEL NORTE,Trailer,MEXICO
3C3,1002,CHRYSLER DE MEXICO TOLUCA,"DODGE, CHRYSLER, FIAT, LANCIA",Passenger Car,MEXICO
3C4,1002,CHRYSLER DE MEXICO TOLUCA,"DODGE, CHRYSLER, VOLKSWAGEN, JEEP, FIAT, RAM, LANCIA",Multipurpose Passenger Vehicle (MPV),MEXICO
3C6,1002,CHRYSLER DE MEXICO TOLUCA,"DODGE, CHRYSLER, VOLKSWAGEN, JEEP, FIAT, RAM, LANCIA",Truck,MEXICO
3C7,1002,CHRYSLER DE MEXICO TOLUCA,"DODGE, CHRYSLER, VOLKSWAGEN, JEEP, FIAT, RAM, LANCIA",Incomplete Vehicle,MEXICO
3C8,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Multipurpose Passenger Vehicle (MPV),MEXICO
3C9039,11177,CARROCERIAS GALLEGOS S.A. DE C.V.,,Trailer,MEXICO
3C9115,21362,"CARROCERIAS CORPUS CHRISTI, S.A. DE C.V.",,Trailer,MEXICO
3C9116,10677,CARGA FACIL S. A. DE C.V.,,Trailer,MEXICO
3C9127,14911,"TRAILERS CONCAR DE MEXICO, S. DE R.L. DE C.V.",,Trailer,MEXICO
3C9142,20610,"CAJAS Y REMOLQUES MUÑOZ, SA DE CV",,Trailer,
3C9143,9825,CALCROSS S DE R.L DE C.V.,,Trailer,MEXICO
3C9164,22523,CECZA INDUSTRIAS SA,,Trailer,
3C9192,23117,"CARROCERIAS TRACTO MEXICO, S.A. DE C.V.",,Trailer,MEXICO
3C9218,16523,CUSITEC SA DE CV,,Trailer,MEXICO
3C9223,23043,"CARROCERIAS KAMIXO, S.A. DE C.V.",,Trailer,MEXICO
3C9230,19096,COMERCIALIZADORA ROSTAM S.A. DE C.V.,,Trailer,MEXICO
3C9243,21044,CONSTRUCTORA ALDIMA S. DE R.L. DE C.V.,,Trailer,MEXICO
3C9248,21970,COSMI SERVICIOS DE MANTENIMIENTO S.A. DE C.V.,,Trailer,MEXICO
3C9249,21819,CONSORCIO INDUSTRIAL DE MANUFACTURAS SJ DE FRONTERA S.A. DE C.V.,,Trailer,
3C9260,24168,CONQUEST MANUFACTURING S.A. DE C.V.,,Trailer,MEXICO
3C9262,25301,COMERCIO Y FABRICACION EAGLEMEX SA DE CV,,Trailer,
3CA,1002,CHRYSLER DE MEXICO TOLUCA,CHRYSLER,Multipurpose Passenger Vehicle (MPV),MEXICO
3CE,14597,"VOLVO GROUP MEXICO, S.A. DE C.V.",VOLVO,Bus,MEXICO
3CG,1168,KTMMEX SA. DE CV.,KTMMEX,Motorcycle,UNITED STATES (USA)
3CV,20774,"PJ TRAILERS COMPANY, S.A. DE C.V.","PJ TRAILERS COMPANY, S.A. DE C.V.",Trailer,MEXICO
3CW,8516,FIVE STAR TRAILERS S.A. DE C.V.,FIVE STAR TRAILERS,Trailer,
3CX,11589,"TALLERES LOZANO, S.A. DE C.V.","LOZANO TRAILER, KRONE TRAILER",Trailer,UNITED STATES (USA)
3CZ,992,"HONDA DE MEXICO, S.A. DE C.V.",HONDA,Multipurpose Passenger Vehicle (MPV),MEXICO
3D2,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Incomplete Vehicle,MEXICO
3D3,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Truck,MEXICO
3D4,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Multipurpose Passenger Vehicle (MPV),MEXICO
3D5,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Bus,MEXICO
3D6,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Incomplete Vehicle,MEXICO
3D7,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Truck,MEXICO
3D8,1002,CHRYSLER DE MEXICO TOLUCA,DODGE,Multipurpose Passenger Vehicle (MPV),MEXICO
3D9026,19098,DOLLIES Y REMOLQUES MEXICO S.  DE R.L. DE C.V.,,Trailer,MEXICO
3D9028,20235,"DYNAMIC MANUFACTURING SOLUTIONS, S. DE R.L. DE C.V.",,Trailer,MEXICO
3D9031,22432,DAISY MARINA CASTRO,,Trailer,
3D9032,24485,DISENADORES DE INGENIERIA Y CONSTRUCCION DEL NORESTE S.A. DE C.V.,,Trailer,
3D9033,25387,DESARROLLO Y FABRICACION DE ACERO S.A. DE C.V.,,Trailer,
3D9034,25411,DANTE RODRIGUEZ SOTELO,,Trailer,MEXICO
3D9035,25238,"DUSTRAIL, S.A. DE C.V.",,Trailer,
3DB,6440,IMPLEMENTOS BANENS SA DE CV,BANENS,Trailer,MEXICO
3DC,17435,"ADEMES Y MAQUINARIA DE CUAUHTEMOC, S.A. DE C.V.",AMACSA,Trailer,MEXICO
3DG,11177,CARROCERIAS GALLEGOS S.A. DE C.V.,C.GALLEGOS,Trailer,MEXICO
3DH,992,"HONDA DE MEXICO, S.A. DE C.V.",HONDA,Multipurpose Passenger Vehicle (MPV),MEXICO
3E1,11798,BULK TANK INTERNATIONAL S DE RL DE CV,"BULK TANK INTERNATIONAL, WABASH, BULK, PROGRESS, WABASH TANKS",Trailer,MEXICO
3E3,1002,CHRYSLER DE MEXICO TOLUCA,EAGLE,Passenger Car,MEXICO
3E4,1002,CHRYSLER DE MEXICO TOLUCA,FIAT,Multipurpose Passenger Vehicle (MPV),
3E9001,18125,"E.C.S.A. ENSAMBLADORA CACANILLA, S.A. DE C.V.",,Trailer,UNITED STATES (USA)
3E9003,12419,"ENVASES DE ACERO, S.A. DE C.V.",,Trailer,MEXICO
3E9021,19152,ENRIQUE VILLEGAS ROMERO,,Trailer,MEXICO
3E9030,11579,REMOLQUES ENMAR,,Trailer,MEXICO
3E9034,7905,EXA INDUSTRIAL S.A. DE C.V.,,Trailer,
3E9048,14857,"EMPRESAS Y EQUIPOS INDUSTRIALES, S.A. DE C.V.",,Trailer,MEXICO
3E9072,23981,EDGAR MANUEL RODRIGUEZ VILLARREAL,,Trailer,
3E9073,24853,EVELYN MONSERRATH SANCHEZ ZAPATA,,Trailer,MEXICO
3E9074,25018,EDUARDO JAVIER SANMIGUEL SALOMON,,Trailer,
3EB,12936,"FLEETWOOD ENTERPRISES, INC.",FLEETWOOD ENTERPRISES,Trailer,UNITED STATES (USA)
3EL,18817,COMERCIALIZADORA NIMMKA SA DE CV,"ATRO, NIMMKA",Trailer,MEXICO
3ES,23071,LOAD TRAIL MX S.A. DE C.V.,LOAD TRAIL MX S.A. DE C.V.,Trailer,MEXICO
3EU,22286,NORSTAR TRAILERS MEXICO S DE RL DE CV,NORSTAR TRAILERS MEXICO S DE RL DE CV,Trailer,
3EV,17123,RAWMAXX S.A. DE C.V.,RAWMAXX,Trailer,MEXICO
3EW,20791,BERNHARD NEUFELD LOEWEN,HORIZON TRAILERS,Trailer,MEXICO
3EY,21120,"GG TRAILERS, SA DE CV",GG TRAILERS,Trailer,MEXICO
3EZ,20857,SUSANA FAST KLASSEN,INDUSTRIAS AMERICA,Trailer,
3F5,21362,"CARROCERIAS CORPUS CHRISTI, S.A. DE C.V.",CORPUS TRAILERS,Trailer,
3F6,14190,DAIMLER CHRYSLER DE MEXICO SA DE CV,STERLING TRUCK,Truck,MEXICO
3F7,21503,ASCEND INDUSTRIES S.A. DE C.V.,AI TRAILERS,Trailer,MEXICO
3F8,14842,"PRO FAB US, S.A. DE C.V.",DURAHAUL,Trailer,MEXICO
3F9001,7967,FABRICACION Y COMERCIALIZACION PENA S.A. DE C.V. DBA PENA,,Trailer,
3F9033,21823,FRANCISCO YANES PUIGBO,,Trailer,MEXICO
3F9060,18507,F&S FABRICATION AND WELDING SOLUTIONS S.A DE C.V.,,Trailer,MEXICO
3F9061,21096,FABRICACIONES Y SERVICIOS DE MEXICO SA DE CV (FASEMEX/LIDDELL),,Trailer,
3F9063,20237,FRANZ PENNER OLFERT DBA INDUSTRIAS METALICAS PENNER'S,,Trailer,MEXICO
3F9066,20837,FUD TRAILERS MARTINEZ S.A. DE C.V.,,Trailer,MEXICO
3F9067,23623,FORTE INFRAESTRUCTURA S.A. DE C.V.,,Trailer,MEXICO
3F9071,24825,F.L.T. TRAILERS,,Trailer,
3FA,979,"FORD MOTOR COMPANY, MEXICO",FORD,Passenger Car,MEXICO
3FB,979,"FORD MOTOR COMPANY, MEXICO",FORD,Bus,MEXICO
3FC,979,"FORD MOTOR COMPANY, MEXICO",FORD,Incomplete Vehicle,MEXICO
3FD,979,"FORD MOTOR COMPANY, MEXICO",FORD,Incomplete Vehicle,MEXICO
3FE,979,"FORD MOTOR COMPANY, MEXICO",FORD,Incomplete Vehicle,MEXICO
3FF,5443,FREIGHTLINER  CORPORATION,FREIGHTLINER,Incomplete Vehicle,MEXICO
3FH,21881,"HUNTER TRAILERS, S.A. DE C.V.",HUNTER TRAILERS,Trailer,
3FJ,21879,EAST TEXAS TRAILERS S.A. DE C.V.,EAST TEXAS TRAILERS S.A. DE C.V.,Trailer,
3FM,979,"FORD MOTOR COMPANY, MEXICO",FORD,Multipurpose Passenger Vehicle (MPV),MEXICO
3FN,985,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.",FORD,Truck,UNITED STATES (USA)
3FR,985,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.",FORD,Incomplete Vehicle,
3FT,979,"FORD MOTOR COMPANY, MEXICO",FORD,Truck,MEXICO
3FX,24496,"FEHR BROS. INDUSTRIES, S. DE R.L DE C.V.",APEX TRAILERS,Trailer,MEXICO
3FZ,15203,MAXXIM INDUSTRIES II S. DE R.L DE C.V.,MAXXIM,Trailer,MEXICO
3G0,984,GENERAL MOTORS LLC,"HOLDEN, SAAB",Multipurpose Passenger Vehicle (MPV),MEXICO
3G1,984,GENERAL MOTORS LLC,CHEVROLET,Passenger Car,MEXICO
3G2,984,GENERAL MOTORS LLC,PONTIAC,Passenger Car,UNITED STATES (USA)
3G3,984,GENERAL MOTORS LLC,OLDSMOBILE,Passenger Car,UNITED STATES (USA)
3G4,984,GENERAL MOTORS LLC,BUICK,Passenger Car,UNITED STATES (USA)
3G5,984,GENERAL MOTORS LLC,BUICK,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
3G7,984,GENERAL MOTORS LLC,PONTIAC,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
3G9031,14726,"GRECER, SA DE CV",,Trailer,MEXICO
3G9034,21825,GERHARD BLATZ BULHER DBA REMOLQUES DEL CORREDR,,Trailer,MEXICO
3G9052,19032,GRAHER  CONSTRUCTORA INDUSTRIAL S.A. DE C.V.,,Trailer,MEXICO
3G9055,20064,REMOLSA REMOLQUES SALDUA,,Trailer,MEXICO
3G9056,20590,GRUPO INDOLSA S. DE R.L. M.I.,,Trailer,MEXICO
3G9057,21202,GRUPO ZAETA DEL BOSQUE S.P.R. DE R.L. DE C.V.,,Trailer,MEXICO
3G9060,20874,GRUPO AGUIRRE LUNA Y ASOCIADOS SA DE CV,,Trailer,MEXICO
3G9061,21953,GERARDO RODRIGUEZ BENAVIDES,,Trailer,MEXICO
3G9073,23959,"GRUPO GELSA FABRICACION Y DISTRIBUCION, S.A. DE C.V.",,Trailer,MEXICO
3GB,984,GENERAL MOTORS LLC,CHEVROLET,Incomplete Vehicle,MEXICO
3GC,984,GENERAL MOTORS LLC,CHEVROLET,Truck,MEXICO
3GD,984,GENERAL MOTORS LLC,"GMC, SAAB",Incomplete Vehicle,MEXICO
3GG,984,GENERAL MOTORS LLC,CADILLAC,Truck,MEXICO
3GH,18926,GRUPO INDUSTRIAL TRES ESTRELLAS,GRUPO INDUSTRIAL TRES ESTRELLAS,Trailer,MEXICO
3GJ,21454,HECTOR ALEJANDRO MENCHACA GUAJARDO,HM TRAILAS Y REMOLQUES,Trailer,
3GK,984,GENERAL MOTORS LLC,GMC,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
3GM,984,GENERAL MOTORS LLC,CHEVROLET,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
3GN,984,GENERAL MOTORS LLC,CHEVROLET,Multipurpose Passenger Vehicle (MPV),MEXICO
3GP,984,GENERAL MOTORS LLC,HONDA,Multipurpose Passenger Vehicle (MPV),MEXICO
3GR,22794,GERHARD PETERS NEUDORF,"SILVER ARMOR, BUCKSHOT TRAILERS",Trailer,
3GS,984,GENERAL MOTORS LLC,SATURN,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
3GT,984,GENERAL MOTORS LLC,GMC,Truck,MEXICO
3GV,25306,PETER FRIESEN LOEWEN,IMPLEMENTOS AGRICOLAS DOS ESTELLAS,Trailer,
3GY,984,GENERAL MOTORS LLC,CADILLAC,Multipurpose Passenger Vehicle (MPV),MEXICO
3H1,992,"HONDA DE MEXICO, S.A. DE C.V.",HONDA,Motorcycle,MEXICO
3H3,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",HYUNDAI TRANSLEAD TRAILERS,Trailer,MEXICO
3H4,5564,"HEIL TRAILER INTERNATIONAL, LLC","HEIL TRAILER INTERNATIONAL, J&L",Trailer,MEXICO
3H5,22044,HELENA SUDERMAN NEUDROF Y/O FABRICA DE TUBOS Y REMOLQUES EL AGUILA 602,REMOLQUES EL AGUILA 602,Trailer,
3H6,6179,"POLAR TANK TRAILER, LLC",POLAR TANK TRAILER,Trailer,MEXICO
3H7,21966,HORIZON TRAILERS MEXICO S DE RL DE CV,HORIZON TRAILERS,Trailer,MEXICO
3H9008,8990,REMOLQUES DI-KAR,,Trailer,MEXICO
3H9015,19693,HORACIO CARRANZA FLORES,,Trailer,MEXICO
3H9019,21826,HANIA ELIZA GUERRA HADDAD,,Trailer,
3H9023,23479,HIROHITO MARQUEZ BUSTAMANTE,,Trailer,MEXICO
3HA,985,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Incomplete Vehicle,MEXICO
3HB,985,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Incomplete Vehicle,MEXICO
3HC,985,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Truck,MEXICO
3HD,992,"HONDA DE MEXICO, S.A. DE C.V.","HONDA, ACURA",Multipurpose Passenger Vehicle (MPV),MEXICO
3HF,24799,"TORO COMPANY DE MEXICO, S. DE R.L. DE C.V","TORO WORKMAN, SPARTAN INTIMIDATOR",Motorcycle,MEXICO
3HG,992,"HONDA DE MEXICO, S.A. DE C.V.",HONDA,Passenger Car,MEXICO
3HK,21038,TALLERES BARRERA S.A. DE C.V.,BARRERA,Trailer,MEXICO
3HR,1028,"INTERNATIONAL MOTORS, LLC","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Truck,MEXICO
3HS,1028,"INTERNATIONAL MOTORS, LLC","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Truck,MEXICO
3HT,1028,"INTERNATIONAL MOTORS, LLC","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Incomplete Vehicle,MEXICO
3HU,25050,ORANGE X TRAILERS S.A DE C.V,ORANGE X,Trailer,MEXICO
3HV,1028,"INTERNATIONAL MOTORS, LLC","NAVISTAR, CATERPILLAR, IC BUS, WORKHORSE, INTERNATIONAL",Incomplete Vehicle,MEXICO
3J4,1002,CHRYSLER DE MEXICO TOLUCA,JEEP,Multipurpose Passenger Vehicle (MPV),MEXICO
3J5,1002,CHRYSLER DE MEXICO TOLUCA,JEEP,Bus,MEXICO
3J6,1002,CHRYSLER DE MEXICO TOLUCA,JEEP,Incomplete Vehicle,MEXICO
3J9001,16578,JESUS ALBERTO RENTERIA ARMENDARIZ,,Trailer,UNITED STATES (USA)
3J9049,7369,JOHAN BLATZ BUHLER,,Trailer,MEXICO
3J9057,21361,JAVIER TIJERINA MENCHACA,,Trailer,
3J9059,6795,JOSE ANTONIO MEDINA PEGRAM,,Trailer,MEXICO
3J9090,21550,JUAN ADOLFO CANTU RODRIGUEZ,,Trailer,
3J9091,21443,JJ REMOLQUES EN RENTA SA DE CV,,Trailer,
3J9094,21050,JOSE GUADALUPE DE LA CRUZ FUERTE,,Trailer,MEXICO
3J9095,21544,JOSE ANTONIO GRANADOS SAUCEDO,,Trailer,MEXICO
3J9103,25019,JESUS GARZA LUMBRERAS,,Trailer,
3J9106,25234,JESUS EMMANUEL SIERRA SILVA,,Trailer,
3JB,24129,"BRP MEXICO, S.A. DE C.V.",CAN-AM,Motorcycle,MEXICO
3JC,24149,"BRP QUERETARO, S.A. DE C.V.",CAN-AM,Motorcycle,MEXICO
3JD,23848,JFA TRAILERS,JFA TRAILERS,Trailer,MEXICO
3JH,25689,CORPORACION HEIL TRAILER DE MEXICO S. DE R. L. DE C. V.,ADVANCE,Trailer,MEXICO
3K9003,7364,KATHARINA LOEWEN LOEWEN DBA TALLER FEHR,,Trailer,MEXICO
3K9004,21442,"KPE COMERCIALIZADORA AGROPECUARIA DEL NOROESTE, S.A. DE C.V.",,Trailer,MEXICO
3KM,21364,KIA MEXICO S.A. DE C.V.,"HYUNDAI, KIA",Multipurpose Passenger Vehicle (MPV),MEXICO
3KP,21364,KIA MEXICO S.A. DE C.V.,"HYUNDAI, KIA",Passenger Car,MEXICO
3L9033,22577,LOGISTICA Y TRANSPORTES LOINEX S.A. DE C.V.,,Trailer,MEXICO
3L9036,24739,LAURA LETICIA ZAMORA GONZALEZ,,Trailer,
3LH,15540,ED TRAILERS,ED TRAILERS,Trailer,
3LN,979,"FORD MOTOR COMPANY, MEXICO",LINCOLN,Passenger Car,MEXICO
3LT,23045,"LT MANUFACTURING, S DE RL DE CV",LAMAR,Trailer,
3M7,7658,INDUSTRIAS MET GRI SA DE CV,INDUSTRIAS MET GRI,Trailer,MEXICO
3M9001,4730,CARROCERIAS PRECONSTRUIDAS S A (MAGNABUS SA DE CV),,Trailer,MEXICO
3M9009,7868,MANUFACTURAS HERCULES S.A.DE C.V.,,Trailer,MEXICO
3M9014,22812,MAQUILAS Y REMOLQUES DE QUERETARO SA DE CV,,Trailer,MEXICO
3M9054,14341,MC.GUBER,,Trailer,MEXICO
3M9076,21108,MARTIN ZAMORA GONZALEZ,,Trailer,MEXICO
