# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
1A9326,17275,APS SYSTEMS,,Bus,UNITED STATES (USA)
1A9327,10884,THOMPSON & ASSOCIATES INC. DBA ARCHITECTURAL WELDING & DESIGN,,Trailer,UNITED STATES (USA)
1A9329,14225,ATLAS PRECISION / PRO MAGNUM,,Motorcycle,UNITED STATES (USA)
1A9330,13196,ANVIL PRODUCTS CORPORATION,,Trailer,UNITED STATES (USA)
1A9332,13098,AGRICULTURAL BELT SERVICE,,Trailer,UNITED STATES (USA)
1A9333,2196,ALUM-A-FAB INC,,Trailer,UNITED STATES (USA)
1A9334,17736,"MESCO INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
1A9341,19168,AULICK INDUSTRIES,,Trailer,UNITED STATES (USA)
1A9344,16987,ARK CUSTOM TRAILERS,,Trailer,UNITED STATES (USA)
1A9347,4974,"RED EWALD, INC.",,Trailer,UNITED STATES (USA)
1A9359,17976,ACCEL TRAILERS INC.,,Trailer,UNITED STATES (USA)
1A9360,1991,ARISTOCRAT INDUSTRIES INC,,Trailer,UNITED STATES (USA)
1A9374,10037,ADAMS MFG.,,Trailer,UNITED STATES (USA)
1A9375,4854,ALLOY CUSTOM VACUUM PRODUCTS INC,,Trailer,UNITED STATES (USA)
1A9378,17013,AMERICAN ELECTRONIC SIGN CO.,,Trailer,UNITED STATES (USA)
1A9379,2174,ACE MOTORCYCLE CORPORATION,,Motorcycle,UNITED STATES (USA)
1A9383,4475,"AMERICAN IRONHORSE MOTORCYCLE COMPANY, INC.",,Motorcycle,UNITED STATES (USA)
1A9393,13093,AEROGLAS,,Trailer,UNITED STATES (USA)
1A9394,4408,A & W TRAILOR MANUFACTURE,,Trailer,UNITED STATES (USA)
1A9397,17023,"AG INDUSTRIAL, INC",,Trailer,UNITED STATES (USA)
1A9398,5188,AMERITECH CORPORATION,,Passenger Car,UNITED STATES (USA)
